"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.7056197263865,0.735307163957302,1062,229,39,46,14,13,25,33
0.718075539568345,0.768675948861646,1077,214,40,102,20,18,20,84
0.673401870770292,0.674498756018526,1046,245,37,22,13,9,24,13
0.71808553157474,0.716946047596974,1055,236,40,25,18,8,22,17
0.656892889087657,0.710242863408913,1057,234,43,73,16,24,27,49
0.770398132219218,0.796980411625565,1045,246,39,49,21,14,18,35
0.747452038369305,0.752103015788265,1061,230,40,16,20,8,20,8
0.752141157811261,0.784812167092368,1055,236,30,57,12,14,18,43
0.730126958709825,0.734462815770923,1073,218,42,23,15,10,27,13
0.721731763866595,0.743542127039809,1072,219,45,30,17,9,28,21
0.747841983235242,0.800192408185684,1052,239,45,139,22,37,23,102
0.781235011990408,0.783926887190081,1073,218,40,23,22,12,18,11
0.777108115252445,0.769169223596945,1055,236,30,13,10,7,20,6
0.686382906971142,0.71864589869516,1077,214,33,62,11,8,22,54
0.73219528003355,0.78186898086059,1060,231,42,89,22,26,20,63
0.732042202630438,0.776276613516867,1046,245,33,90,14,22,19,68
0.751831975516186,0.788687965689572,1045,246,37,96,15,27,22,69
0.770883218170623,0.810531732648591,1080,211,47,51,23,18,24,33
0.731505292188432,0.771208435249838,1071,220,43,63,17,20,26,43
0.713114194722475,0.727397935422604,1064,227,35,20,19,12,16,8
0.682120804805309,0.723497953897634,1047,244,38,84,15,14,23,70
0.699300625866342,0.749818867939186,1076,215,38,55,17,15,21,40
0.802096494922551,0.851195167146343,1064,227,34,91,23,27,11,64
0.740536585365854,0.79005569141428,1060,231,41,85,19,22,22,63
0.724668893577121,0.796431848100932,1071,220,27,101,14,24,13,77
0.79172322135505,0.843731551023912,1082,209,28,84,15,19,13,65
0.746670115091168,0.748993712907188,1081,210,37,20,18,9,19,11
0.775706279309161,0.819319118047182,1088,203,42,101,23,27,19,74
0.768203940287332,0.798127239626573,1089,202,34,27,18,9,16,18
0.702083420842609,0.765340132554072,1068,223,38,45,18,12,20,33
0.756872509960159,0.792508790532789,1058,233,36,53,18,13,18,40
0.695898265216113,0.736186220273653,1057,234,38,99,13,18,25,81
0.699027975343765,0.770196226085819,1089,202,37,55,15,15,22,40
0.722949132608056,0.753682971829972,1071,220,38,32,16,10,22,22
0.719504263621911,0.750960305936345,1049,242,33,63,16,19,17,44
0.694662058371736,0.735541776990376,1068,223,31,49,12,13,19,36
0.742308363890344,0.790236200614399,1072,219,46,120,22,24,24,96
0.686701742346258,0.726078287064996,1045,246,42,98,18,26,24,72
0.751822724666175,0.780435025657715,1077,214,39,35,14,13,25,22
0.726970981629367,0.769731577460577,1057,234,49,104,20,27,29,77
0.80036501474098,0.8460493448556,1085,206,34,112,21,28,13,84
0.818873909595559,0.858382208331294,1084,207,30,56,18,16,12,40
0.69852810978309,0.735728672539924,1078,213,36,41,14,14,22,27
0.732467383088501,0.784610460298404,1072,219,49,114,23,28,26,86
0.65715565796211,0.714453378690137,1050,241,31,47,11,13,20,34
0.790759185480301,0.81023511068156,1054,237,36,33,21,15,15,18
0.721549901581979,0.766717774218534,1053,238,44,58,18,14,26,44
0.684144116752812,0.73287405122781,1089,202,26,66,12,16,14,50
0.740026214467109,0.775030896594463,1057,234,39,70,19,19,20,51
0.76809024979855,0.79980822552249,1064,227,50,62,22,20,28,42
0.714548361310951,0.75472566541102,1068,223,40,46,17,15,23,31
0.703877387624385,0.756694033372645,1069,222,42,94,18,22,24,72
0.749552772808587,0.780604943341707,1057,234,43,64,20,25,23,39
0.743221110100091,0.785812583117696,1072,219,35,80,16,20,19,60
0.771298978086234,0.84451237394228,1078,213,29,108,14,24,15,84
0.732284756142014,0.734819460691171,1051,240,44,17,19,7,25,10
0.76699948796723,0.76319234061043,1053,238,31,12,16,5,15,7
0.810560675883257,0.844104277824469,1065,226,31,48,18,15,13,33
0.757706282231599,0.789238945336156,1088,203,27,144,12,25,15,119
0.723932066037329,0.7576271899941,1034,257,37,97,19,20,18,77
0.718532399442943,0.784553106930404,1073,218,39,59,19,17,20,42
0.756809756097561,0.790303416209542,1055,236,41,71,20,23,21,48
0.710612526402,0.774003590367716,1070,221,37,84,15,22,22,62
0.686625485516402,0.718636429237176,1076,215,34,58,11,14,23,44
0.739331562638335,0.798387240750723,1055,236,36,104,14,27,22,77
0.738489208633094,0.772757292328401,1066,225,40,108,16,27,24,81
0.780518284661931,0.844679828214361,1055,236,24,90,12,20,12,70
0.713094284951771,0.754762399402536,1072,219,42,34,21,13,21,21
0.699155145929339,0.736448254899873,1044,247,31,78,11,17,20,61
0.755588756086764,0.791236825139573,1075,216,36,31,19,12,17,19
0.797061611374408,0.854423457249681,1087,204,25,50,14,16,11,34
0.703935599284437,0.762182195325107,1100,191,43,83,14,19,29,64
0.709330321683876,0.746712951536511,1055,236,32,74,13,17,19,57
0.749700239808153,0.775486297085409,1083,208,40,40,17,9,23,31
0.704440877474586,0.756861671875034,1055,236,45,67,19,21,26,46
0.785646312450436,0.786982514955625,1079,212,30,15,15,7,15,8
0.772611464968153,0.822069484483077,1063,228,35,119,18,31,17,88
0.734733942803563,0.765924830477645,1078,213,27,102,12,20,15,82
0.707251950134869,0.752334258471717,1063,228,44,56,19,15,25,41
0.719567774184063,0.768510717852858,1065,226,38,46,19,19,19,27
0.815060240963855,0.83949709874441,1055,236,46,64,27,26,19,38
0.739137462821673,0.786343125272553,1045,246,37,85,20,29,17,56
0.755175238284353,0.793857380010095,1083,208,32,53,13,14,19,39
0.719903691813804,0.724171072588428,1075,216,45,21,21,7,24,14
0.797157205051942,0.822677266994919,1072,219,37,63,16,14,21,49
0.710852104068448,0.741583832663299,1055,236,46,18,22,6,24,12
0.77217139316177,0.808475040159244,1071,220,44,124,26,31,18,93
0.805941463414634,0.84765078798006,1085,206,41,68,25,19,16,49
0.735194102462272,0.739785016856807,1074,217,32,13,18,5,14,8
0.67313836323421,0.739716439298857,1080,211,39,53,14,12,25,41
0.718994804156675,0.758454072320152,1043,248,40,75,17,19,23,56
0.783450864422202,0.815557039925254,1058,233,35,44,18,14,17,30
0.694643647631696,0.745952695884758,1050,241,36,49,15,14,21,35
0.68380162827641,0.752057647263778,1047,244,32,119,14,26,18,93
0.782949188056574,0.827762416433193,1067,224,46,156,28,36,18,120
0.759410405485987,0.800895941225352,1054,237,43,55,23,17,20,38
0.739501819836215,0.796333042715929,1087,204,35,104,18,22,17,82
0.750181983621474,0.764935959116369,1065,226,35,19,13,6,22,13
0.778920398708409,0.805345494984067,1066,225,34,119,13,26,21,93
0.825752545374059,0.850670666573418,1077,214,36,60,18,11,18,49
0.673655913978495,0.71118231245844,1056,235,51,98,16,25,35,73
0.753317281968968,0.797310053786744,1081,210,45,102,23,21,22,81
0.791316946442846,0.830329655504717,1066,225,40,68,22,19,18,49
0.737666811196223,0.758650817422831,1063,228,33,27,14,10,19,17
0.699829390354868,0.741210482782325,1040,251,35,86,16,20,19,66
0.695203782073278,0.693161522793443,1059,232,42,21,20,8,22,13
0.754231119199272,0.785935238293914,1058,233,35,60,16,14,19,46
0.767565424266455,0.787034313134581,1052,239,30,27,18,13,12,14
0.797063160481691,0.852023309889685,1075,216,39,72,22,18,17,54
0.748169939111993,0.797961404162226,1069,222,47,47,25,20,22,27
0.705401772587894,0.762892272578828,1049,242,38,28,18,9,20,19
0.751505516211398,0.793356114538771,1091,200,33,86,13,22,20,64
0.801075268817204,0.803525839196583,1081,210,31,15,18,7,13,8
0.797463414634146,0.835994990568796,1054,237,41,107,24,30,17,77
0.781125893566323,0.816135663852825,1091,200,32,99,15,22,17,77
0.740778184600251,0.776270359207938,1083,208,29,67,12,11,17,56
0.73698262243286,0.798290038928991,1066,225,25,82,15,22,10,60
0.764068100358423,0.80973860700744,1078,213,31,76,15,20,16,56
0.714211108380437,0.74202721947897,1095,196,39,109,13,23,26,86
0.761686586985392,0.779985754606557,1066,225,36,20,15,8,21,12
0.795971809129704,0.832444717113875,1068,223,37,119,19,27,18,92
0.723823064770932,0.767090943022946,1061,230,25,79,12,20,13,59
0.716943106830747,0.750344992598149,1078,213,45,22,24,9,21,13
0.719537534789737,0.777006171207058,1077,214,42,93,20,19,22,74
0.737007168458781,0.736737500442255,1084,207,31,15,14,8,17,7
0.721146755162242,0.72285408814511,1045,246,48,22,27,11,21,11
0.770521876285832,0.806100227371204,1069,222,23,41,9,9,14,32
0.721894904458599,0.765614511495756,1085,206,35,59,16,14,19,45
0.729916067146283,0.73241234038689,1082,209,40,17,17,8,23,9
0.719525769731592,0.766677190133763,1083,208,38,83,12,14,26,69
0.766387277025575,0.797593622681367,1063,228,22,31,10,10,12,21
0.761540767386091,0.788733291619659,1077,214,40,84,16,24,24,60
0.798549886785181,0.832629839688165,1067,224,33,102,19,24,14,78
0.724078048780488,0.768687373922698,1028,263,41,104,21,29,20,75
0.723494909251881,0.777628441006224,1068,223,36,62,19,21,17,41
0.732539913975359,0.766774839970334,1083,208,44,109,15,29,29,80
0.78839928057554,0.793240113057608,1074,217,40,16,23,10,17,6
0.736075672523147,0.774667652703977,1075,216,44,71,21,16,23,55
0.74479386026487,0.747463764033856,1075,216,34,17,16,6,18,11
0.783157549592874,0.827132711703978,1069,222,29,83,12,17,17,66
0.753526645768025,0.801527660221016,1071,220,44,62,22,23,22,39
0.722260698403441,0.750681932584406,1065,226,44,78,19,23,25,55
0.681059401647637,0.681583477504812,1068,223,33,16,11,7,22,9
0.738064195691314,0.791357034878414,1038,253,52,91,27,23,25,68
0.720773381294964,0.761391010468698,1045,246,40,113,20,24,20,89
0.743615323224262,0.752848520998836,1087,204,38,16,20,7,18,9
0.765741677506383,0.809224272017773,1054,237,33,101,16,28,17,73
0.709307317073171,0.752334240035631,1072,219,41,45,18,12,23,33
0.712271644162033,0.739337068855111,1043,248,32,48,15,19,17,29
0.665211862580284,0.671670478897796,1069,222,37,16,15,4,22,12
0.772599031606237,0.815525234885044,1055,236,42,63,23,27,19,36
0.784489213346436,0.853109263867408,1068,223,34,43,22,11,12,32
0.747758256178465,0.775733755188631,1050,241,44,58,21,22,23,36
0.70140487804878,0.726871467603799,1061,230,41,32,18,15,23,17
0.779119284945482,0.820918190851868,1075,216,34,65,19,21,15,44
0.827491428145498,0.844334820563958,1062,229,43,42,25,18,18,24
0.78389656938044,0.814940500882053,1070,221,31,87,16,22,15,65
0.760829493087558,0.796561507829296,1060,231,31,57,15,17,16,40
0.687644390305372,0.741319133698647,1060,231,38,45,17,16,21,29
0.731938876675719,0.766541970857582,1086,205,37,59,15,17,22,42
0.725931800158604,0.764223104325753,1069,222,30,62,10,18,20,44
0.748696882446386,0.802680014428026,1063,228,32,68,14,13,18,55
0.764410828025478,0.804700700988339,1075,216,35,52,17,13,18,39
