"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_medium_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_medium_risk_observed","sum_medium_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_medium_risk_true","mean_age_high_risk_true"
0.721691322478157,0.7594778284918,734,333,224,32,44,13,14,12,17,7,13,42.2213587541649,41.3889736259366,43.5635025489192
0.806489558551414,0.838537398638718,705,355,231,30,30,15,12,8,5,7,13,42.2213587541649,41.3889736259366,43.5635025489192
0.7949246629659,0.823537707373636,742,330,219,30,39,14,12,12,16,4,11,42.2213587541649,41.3889736259366,43.5635025489192
0.707375099127676,0.777125633021258,720,364,207,30,98,11,18,10,26,9,54,42.2213587541649,41.3889736259366,43.5635025489192
0.731807758903084,0.777570928433084,712,378,201,34,55,14,14,14,16,6,25,42.2213587541649,41.3889736259366,43.5635025489192
0.756762716847986,0.794454113886403,703,366,222,38,25,22,7,10,10,6,8,42.2213587541649,41.3889736259366,43.5635025489192
0.745004102203469,0.761225281471413,704,364,223,27,68,13,21,11,17,3,30,42.2213587541649,41.3889736259366,43.5635025489192
0.724891455722127,0.761967985512714,727,338,226,39,54,17,19,12,11,10,24,42.2213587541649,41.3889736259366,43.5635025489192
0.719979877392484,0.763545530631068,735,345,211,34,43,19,12,6,13,9,18,42.2213587541649,41.3889736259366,43.5635025489192
0.759586293080768,0.790861359014253,739,339,213,24,19,12,8,7,7,5,4,42.2213587541649,41.3889736259366,43.5635025489192
0.699699662430501,0.746930698004292,673,386,232,32,55,13,11,11,20,8,24,42.2213587541649,41.3889736259366,43.5635025489192
0.721891152325935,0.74967431993545,704,363,224,26,31,7,8,15,13,4,10,42.2213587541649,41.3889736259366,43.5635025489192
0.72105033061916,0.768757954637341,659,388,244,29,64,15,19,7,20,7,25,42.2213587541649,41.3889736259366,43.5635025489192
0.728122047124089,0.769488057768665,735,340,216,53,55,28,19,10,14,15,22,42.2213587541649,41.3889736259366,43.5635025489192
0.795932220434433,0.841019750835469,751,343,197,48,96,27,24,14,23,7,49,42.2213587541649,41.3889736259366,43.5635025489192
0.687298440391224,0.734601093350287,720,335,236,30,102,7,23,13,42,10,37,42.2213587541649,41.3889736259366,43.5635025489192
0.655111941865838,0.692110491177469,718,347,226,38,37,15,14,9,10,14,13,42.2213587541649,41.3889736259366,43.5635025489192
0.753610069399543,0.796505294280948,699,373,219,37,45,16,13,14,13,7,19,42.2213587541649,41.3889736259366,43.5635025489192
0.841780971637794,0.879281710595363,725,334,232,29,41,23,18,2,8,4,15,42.2213587541649,41.3889736259366,43.5635025489192
0.730223550243471,0.781056004651469,731,343,217,36,50,15,14,9,11,12,25,42.2213587541649,41.3889736259366,43.5635025489192
0.71629142689125,0.754176313065831,767,303,221,38,47,17,16,9,10,12,21,42.2213587541649,41.3889736259366,43.5635025489192
0.688628820207768,0.721720832345382,737,354,200,37,22,11,2,17,8,9,12,42.2213587541649,41.3889736259366,43.5635025489192
0.754757431228019,0.790656558376728,726,356,209,33,63,16,16,10,20,7,27,42.2213587541649,41.3889736259366,43.5635025489192
0.795147175815434,0.822662404615124,739,347,205,34,82,15,20,15,17,4,45,42.2213587541649,41.3889736259366,43.5635025489192
0.67126216077829,0.708751054286464,731,330,230,31,26,11,7,8,3,12,16,42.2213587541649,41.3889736259366,43.5635025489192
0.818946319737459,0.856760444039867,752,321,218,27,44,18,14,5,10,4,20,42.2213587541649,41.3889736259366,43.5635025489192
0.75491461477363,0.802968779798347,692,357,242,32,54,15,11,9,14,8,29,42.2213587541649,41.3889736259366,43.5635025489192
0.747709535120462,0.767780471281748,749,340,202,28,40,11,5,12,13,5,22,42.2213587541649,41.3889736259366,43.5635025489192
0.726281305228674,0.766961786259396,763,344,184,37,64,14,13,14,22,9,29,42.2213587541649,41.3889736259366,43.5635025489192
