"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_high_risk_true"
0.708848953594177,0.733412066388063,1076,215,35,30,14,4,21,26,41.9202832822525,43.5635025489192
0.746477430982223,0.789592922640951,1065,226,39,53,20,23,19,30,41.9202832822525,43.5635025489192
0.782360975609756,0.821929920789544,1054,237,41,38,23,11,18,27,41.9202832822525,43.5635025489192
0.735578832406672,0.769007247143106,1084,207,32,77,13,11,19,66,41.9202832822525,43.5635025489192
0.7584638971731,0.782976109458659,1055,236,38,47,17,13,21,34,41.9202832822525,43.5635025489192
0.731344924060751,0.795630022873997,1080,211,40,46,22,16,18,30,41.9202832822525,43.5635025489192
0.811260991207034,0.856233395455005,1058,233,40,38,26,15,14,23,41.9202832822525,43.5635025489192
0.796625690693487,0.82679526539953,1064,227,52,48,29,18,23,30,41.9202832822525,43.5635025489192
0.752598566308244,0.797347112615422,1070,221,31,49,13,11,18,38,41.9202832822525,43.5635025489192
0.716590548054011,0.773891717749051,1087,204,32,26,15,8,17,18,41.9202832822525,43.5635025489192
0.737642083002908,0.78280851363465,1063,228,30,43,15,17,15,26,41.9202832822525,43.5635025489192
0.768640786338364,0.832151634124058,1088,203,32,50,18,12,14,38,41.9202832822525,43.5635025489192
0.755096818220592,0.796074761151868,1057,234,57,62,32,25,25,37,41.9202832822525,43.5635025489192
